State Name,,District Name,,Market Name,,Variety,,Group,,Arrivals (Tonnes),,Min Price (Rs./Quintal),,Max Price (Rs./Quintal),,Modal Price (Rs./Quintal),,Reported Date,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,195.00,,300,,1450,,720,,11 Jan 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,196.00,,150,,430,,350,,03 Apr 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,196.00,,1000,,10100,,5800,,19 Dec 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,200.00,,200,,600,,400,,03 May 2017,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,205.00,,250,,1800,,820,,19 Dec 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,205.00,,300,,900,,500,,27 May 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,208.00,,300,,2730,,1420,,21 Dec 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,210.00,,250,,1850,,1050,,31 Dec 2009,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,212.00,,200,,1600,,840,,28 Mar 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,212.00,,500,,4400,,2100,,09 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,213.00,,400,,950,,650,,27 Aug 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,214.00,,200,,1800,,1150,,23 Dec 2009,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,217.00,,200,,600,,500,,20 Jan 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,13.00,,500,,4000,,1820,,07 Dec 2017,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,20.00,,1100,,1400,,1250,,19 Nov 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,33.00,,300,,1000,,620,,16 Jan 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,55.00,,350,,700,,600,,01 Oct 2008,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,65.00,,250,,800,,600,,04 Feb 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,70.00,,400,,750,,550,,20 Mar 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,75.00,,200,,400,,350,,03 Sep 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,78.00,,250,,2400,,1250,,10 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,80.00,,100,,400,,300,,19 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,80.00,,250,,750,,580,,12 Feb 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,81.00,,250,,4050,,2000,,29 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,95.00,,700,,850,,750,,02 Sep 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,97.00,,600,,5000,,2500,,31 Dec 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,106.00,,260,,1300,,650,,06 Mar 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,123.00,,500,,1540,,900,,05 Sep 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,132.00,,300,,1810,,830,,16 Dec 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,133.00,,250,,600,,400,,19 Feb 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,135.00,,500,,2100,,1200,,01 Feb 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,140.00,,150,,370,,300,,28 Mar 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,143.00,,300,,1300,,900,,04 Feb 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,147.00,,200,,2450,,1400,,09 Dec 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,152.00,,500,,5200,,2300,,03 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,162.00,,300,,1160,,900,,08 Feb 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,163.00,,250,,750,,500,,07 Apr 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,170.00,,500,,2000,,1200,,27 Jan 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,179.00,,1000,,2050,,1500,,22 Sep 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,180.00,,110,,350,,300,,20 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,186.00,,250,,2000,,930,,18 Jan 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,194.00,,200,,1360,,880,,31 Aug 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,196.00,,800,,950,,880,,13 Aug 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,204.00,,900,,2900,,1600,,15 Jan 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,205.00,,250,,680,,450,,04 Apr 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,205.00,,500,,2800,,1500,,18 Dec 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,206.00,,200,,1100,,550,,02 Feb 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,208.00,,250,,850,,700,,13 Sep 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,210.00,,300,,1720,,950,,10 Jan 2009,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,212.00,,200,,1250,,600,,25 Apr 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,220.00,,300,,1500,,700,,03 Sep 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,220.00,,500,,1600,,1000,,05 Mar 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,227.00,,600,,1600,,1000,,28 Aug 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,233.00,,500,,2700,,1500,,12 Jan 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,234.00,,100,,750,,550,,22 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,234.00,,200,,1560,,720,,15 Feb 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,234.00,,250,,1400,,650,,13 Feb 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,240.00,,2000,,2500,,2200,,24 Jul 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,241.00,,300,,1300,,800,,21 Dec 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,252.00,,250,,500,,450,,30 Apr 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,256.00,,300,,1400,,800,,12 Jan 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,260.00,,120,,450,,400,,05 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,262.00,,300,,1000,,650,,14 Mar 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,218.00,,300,,1000,,500,,26 May 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,219.00,,400,,1750,,1000,,11 Feb 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,220.00,,300,,750,,550,,06 Apr 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,222.00,,200,,1400,,700,,08 Feb 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,222.00,,250,,700,,450,,04 Mar 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,224.00,,300,,1600,,1000,,24 Jan 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,225.00,,250,,1350,,1150,,19 Sep 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,230.00,,300,,1500,,700,,10 Feb 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,233.00,,300,,1300,,1100,,20 Sep 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,238.00,,200,,1350,,750,,17 Sep 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,238.00,,200,,1700,,800,,29 Sep 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,244.00,,300,,830,,550,,07 Feb 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,248.00,,400,,5100,,1800,,04 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,260.00,,300,,900,,500,,07 May 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,264.00,,250,,550,,400,,03 Mar 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,266.00,,500,,3200,,1500,,01 Jan 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,270.00,,150,,850,,780,,17 Sep 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,271.00,,200,,500,,400,,24 Jan 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,271.00,,200,,1800,,880,,04 Jan 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,272.00,,150,,1250,,700,,01 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,273.00,,500,,2800,,1400,,13 Jan 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,274.00,,250,,520,,400,,23 Feb 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,274.00,,250,,1900,,910,,16 Jan 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,275.00,,200,,2000,,1200,,17 Sep 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,278.00,,300,,1500,,750,,13 Jan 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,279.00,,200,,1480,,650,,13 Feb 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,281.00,,500,,4300,,2050,,05 Jan 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,284.00,,350,,1450,,850,,31 Dec 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,288.00,,300,,1100,,600,,24 Jun 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,297.00,,400,,1700,,1100,,31 Jan 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,298.00,,250,,2700,,1350,,05 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,300.00,,600,,1620,,850,,22 Feb 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,304.00,,200,,360,,300,,09 May 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,307.00,,150,,650,,500,,19 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,308.00,,300,,750,,550,,05 Mar 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,310.00,,200,,1400,,700,,23 Jan 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,310.00,,700,,1700,,1050,,14 Feb 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,318.00,,500,,2350,,1250,,29 Jan 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,320.00,,200,,550,,375,,22 Mar 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,320.00,,500,,2100,,1300,,17 Feb 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,326.00,,500,,2100,,1250,,12 Feb 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,331.00,,200,,1200,,600,,21 Mar 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,333.00,,200,,600,,400,,23 Apr 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,335.00,,200,,1400,,700,,23 Jan 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,335.00,,300,,1700,,1100,,08 Dec 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,336.00,,200,,2100,,880,,22 Oct 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,337.00,,400,,2050,,1020,,26 Feb 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,345.00,,300,,1100,,650,,28 Feb 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,347.00,,300,,2000,,1000,,31 Jan 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,348.00,,500,,1100,,750,,09 Apr 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,90.00,,100,,350,,300,,18 Mar 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,93.00,,150,,800,,550,,05 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,106.00,,500,,4500,,2200,,12 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,113.00,,500,,3400,,1750,,16 Jan 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,115.00,,250,,2650,,1400,,07 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,131.00,,1300,,4100,,3000,,03 Sep 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,132.00,,250,,1350,,900,,13 Sep 2007,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,137.00,,2000,,3000,,2400,,28 Jul 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,142.00,,200,,400,,300,,03 Feb 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,143.00,,350,,1600,,900,,12 Feb 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,144.00,,300,,800,,550,,31 Jan 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,144.00,,500,,1350,,1000,,21 Feb 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,146.00,,150,,900,,520,,19 Feb 2007,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,148.00,,300,,900,,750,,15 Feb 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,151.00,,1000,,8000,,5500,,20 Dec 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,156.00,,400,,1850,,950,,30 Jan 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,157.00,,500,,3500,,2100,,15 Dec 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,160.00,,1850,,3700,,2750,,31 Aug 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,163.00,,300,,1300,,650,,19 Feb 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,170.00,,100,,370,,330,,13 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,170.00,,200,,600,,400,,18 May 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,173.00,,200,,1400,,880,,02 Sep 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,173.00,,1500,,3600,,2000,,10 Aug 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,174.00,,250,,630,,500,,30 Mar 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,176.00,,200,,2600,,1300,,06 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,177.00,,300,,650,,500,,03 Mar 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,183.00,,200,,400,,300,,20 Feb 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,183.00,,300,,1650,,800,,19 Jan 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,191.00,,500,,3800,,1750,,01 Jan 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,191.00,,700,,2200,,1300,,03 Sep 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,195.00,,200,,400,,300,,26 May 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,195.00,,200,,2100,,870,,24 Nov 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,196.00,,1000,,4300,,2200,,21 Jan 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,200.00,,500,,4700,,2100,,26 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,204.00,,1200,,2500,,1550,,25 Sep 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,206.00,,1000,,4500,,2250,,19 Aug 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,208.00,,200,,950,,680,,06 Mar 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,208.00,,500,,2300,,1500,,04 Feb 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,211.00,,500,,1120,,560,,03 Mar 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,212.00,,160,,850,,450,,30 Oct 2008,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,216.00,,1150,,3700,,2050,,14 Aug 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,218.00,,500,,1600,,1050,,11 Mar 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,219.00,,200,,520,,400,,06 Jan 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,220.00,,110,,400,,350,,11 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,220.00,,700,,3000,,1800,,18 Jan 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,223.00,,300,,1320,,1100,,22 Sep 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,224.00,,200,,750,,500,,10 Mar 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,232.00,,250,,700,,500,,11 Apr 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,232.00,,250,,1800,,950,,10 Jan 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,236.00,,250,,580,,400,,17 Feb 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,64.00,,500,,3800,,2200,,16 Jan 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,65.00,,250,,800,,610,,10 Feb 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,109.00,,300,,1550,,960,,28 Jan 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,118.00,,1600,,2400,,1850,,06 Apr 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,119.00,,1000,,6000,,3600,,01 Jan 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,121.00,,1300,,3300,,1900,,13 Aug 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,128.00,,300,,700,,510,,10 Sep 2008,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,130.00,,300,,1000,,500,,01 Sep 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,136.00,,200,,1800,,880,,12 Jan 2024,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,141.00,,300,,1700,,850,,01 Jan 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,150.00,,150,,450,,400,,06 Sep 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,150.00,,180,,500,,430,,08 Sep 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,153.00,,150,,400,,350,,13 Mar 2009,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,154.00,,250,,2700,,1500,,02 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,160.00,,100,,300,,280,,31 Mar 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,164.00,,1000,,8000,,4300,,23 Dec 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,186.00,,300,,1250,,720,,14 Aug 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,186.00,,600,,1300,,1000,,01 Mar 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,187.00,,350,,1500,,850,,09 Sep 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,191.00,,500,,2900,,1300,,07 Jan 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,192.00,,300,,1350,,850,,23 Feb 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,194.00,,200,,800,,500,,01 Apr 2016,
