,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
178,3.0,25767.0,3613.0,2013.0,10303.0,314.0,1384.0
179,3.0,68951.0,4411.0,12609.0,8692.0,751.0,2406.0
180,3.0,40254.0,640.0,3600.0,1042.0,436.0,18.0
181,3.0,15354.0,2102.0,2828.0,8366.0,386.0,1027.0
182,3.0,16260.0,594.0,1296.0,848.0,445.0,258.0
183,3.0,42786.0,286.0,,1388.0,32.0,22.0
184,2.0,3996.0,11103.0,12469.0,902.0,5952.0,741.0
185,2.0,21273.0,2013.0,6550.0,909.0,811.0,1854.0
186,2.0,19087.0,1304.0,3643.0,3045.0,710.0,898.0
187,2.0,,4560.0,9965.0,,4538.0,1037.0
188,2.0,16448.0,6243.0,6360.0,824.0,2662.0,2005.0
189,2.0,5283.0,,20399.0,1809.0,8752.0,172.0
190,2.0,,5302.0,9785.0,364.0,6236.0,555.0
191,2.0,2599.0,3688.0,13829.0,492.0,10069.0,59.0
192,2.0,161.0,7460.0,24773.0,617.0,11783.0,2410.0
193,2.0,243.0,12939.0,8852.0,799.0,3909.0,211.0
194,2.0,6468.0,12867.0,21570.0,1840.0,,1543.0
195,2.0,17327.0,2374.0,2842.0,1149.0,351.0,925.0
196,2.0,918.0,20655.0,13567.0,1465.0,6846.0,806.0
197,2.0,29635.0,2335.0,8280.0,3046.0,371.0,117.0
198,2.0,2137.0,3737.0,19172.0,1274.0,17120.0,142.0
199,2.0,1479.0,14982.0,11924.0,662.0,,3508.0
200,2.0,9759.0,25071.0,17645.0,1128.0,12408.0,1625.0
201,2.0,15881.0,713.0,3315.0,3703.0,,229.0
202,2.0,13360.0,944.0,11593.0,915.0,1679.0,573.0
203,2.0,25977.0,3587.0,2464.0,2369.0,140.0,1092.0
204,2.0,32717.0,16784.0,13626.0,60869.0,1272.0,5609.0
205,2.0,16933.0,2209.0,3389.0,7849.0,210.0,1534.0
206,2.0,11223.0,14881.0,26839.0,1234.0,9606.0,1102.0
207,2.0,22321.0,3216.0,1447.0,2208.0,178.0,2602.0
208,2.0,8565.0,4980.0,67298.0,131.0,38102.0,1215.0
209,2.0,16823.0,928.0,2743.0,11559.0,332.0,3486.0
210,2.0,27082.0,6817.0,10790.0,1365.0,4111.0,2139.0
211,2.0,13970.0,1511.0,1330.0,650.0,146.0,778.0
212,3.0,381.0,4025.0,9670.0,388.0,7271.0,1371.0
213,3.0,2320.0,5763.0,11238.0,767.0,5162.0,2158.0
214,3.0,,6964.0,26316.0,1456.0,15469.0,37.0
215,3.0,2771.0,6939.0,15541.0,2693.0,6600.0,1115.0
216,3.0,27380.0,7184.0,12311.0,2809.0,4621.0,1022.0
217,3.0,5981.0,14641.0,20521.0,2005.0,12218.0,445.0
218,3.0,1210.0,10044.0,22294.0,1741.0,12638.0,3137.0
219,3.0,608.0,1106.0,1533.0,830.0,90.0,195.0
220,3.0,117.0,6264.0,21203.0,228.0,8682.0,1111.0
221,3.0,14039.0,7393.0,2548.0,6386.0,1333.0,2341.0
222,3.0,,134.0,218.0,3157.0,9.0,548.0
223,3.0,37.0,1275.0,22272.0,137.0,6747.0,110.0
224,3.0,759.0,18664.0,1660.0,6114.0,536.0,4100.0
225,3.0,,2872.0,,2601.0,468.0,503.0
226,3.0,2615.0,873.0,1524.0,1103.0,514.0,468.0
227,3.0,4692.0,,8025.0,1619.0,4515.0,3105.0
228,3.0,22335.0,1196.0,2406.0,2046.0,101.0,558.0
229,3.0,39679.0,3944.0,4955.0,1364.0,523.0,2235.0
230,3.0,20105.0,1887.0,1939.0,8164.0,716.0,790.0
231,3.0,15076.0,6257.0,7398.0,1504.0,1916.0,3113.0
232,3.0,3136.0,,13586.0,5641.0,4666.0,1426.0
233,3.0,38793.0,3154.0,2648.0,1034.0,96.0,1242.0
234,3.0,4048.0,5164.0,,130.0,813.0,179.0
235,3.0,28257.0,944.0,2146.0,3881.0,600.0,270.0
236,3.0,17770.0,4591.0,1617.0,9927.0,246.0,532.0
237,3.0,34454.0,7435.0,8469.0,2540.0,1711.0,2893.0
238,3.0,10683.0,21858.0,15400.0,3635.0,282.0,
239,3.0,20918.0,1916.0,1573.0,1960.0,231.0,961.0
240,3.0,23632.0,6730.0,3842.0,8620.0,385.0,819.0
241,3.0,4515.0,11991.0,9345.0,2644.0,3378.0,2213.0
242,3.0,27167.0,2801.0,2128.0,13223.0,92.0,1902.0
243,3.0,26539.0,4753.0,5091.0,220.0,10.0,340.0
244,3.0,25606.0,11006.0,4604.0,127.0,632.0,288.0
245,3.0,18073.0,4613.0,3444.0,4324.0,914.0,715.0
246,3.0,25066.0,5010.0,5026.0,9806.0,,960.0
247,3.0,7362.0,12844.0,18683.0,2854.0,7883.0,553.0
248,3.0,97.0,3605.0,12400.0,98.0,2970.0,62.0
249,3.0,7842.0,,8552.0,1691.0,3540.0,1874.0
250,3.0,4389.0,10940.0,10908.0,848.0,6728.0,993.0
251,3.0,5065.0,5499.0,11055.0,364.0,3485.0,1063.0
252,3.0,660.0,8494.0,18622.0,133.0,,776.0
253,3.0,4456.0,5266.0,13227.0,25.0,6818.0,1393.0
254,3.0,17063.0,4847.0,9053.0,,3415.0,1784.0
255,3.0,26400.0,1377.0,4172.0,830.0,948.0,1218.0
256,3.0,17565.0,3686.0,4657.0,,1803.0,
257,3.0,16980.0,2884.0,12232.0,874.0,3213.0,249.0
258,3.0,11243.0,2408.0,2593.0,15348.0,108.0,1886.0
259,3.0,,9347.0,14316.0,3141.0,5079.0,1894.0
260,3.0,31012.0,16687.0,5429.0,15082.0,439.0,1163.0
261,3.0,3097.0,4230.0,16483.0,575.0,241.0,
262,3.0,21117.0,1162.0,4754.0,269.0,,395.0
263,3.0,16731.0,3922.0,7994.0,688.0,2371.0,838.0
264,3.0,29703.0,12051.0,16027.0,13135.0,182.0,2204.0
265,3.0,39228.0,1431.0,764.0,4510.0,93.0,2346.0
266,3.0,,15488.0,30243.0,437.0,14841.0,1867.0
