selling_price,full_name,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
5.9,Hyundai i20 2015-2017 Sportz 1.2,2016,Dealer,11000,Petrol,Manual,18.6,1197,81.83,5
4.75,Maruti Celerio VXI AMT BSIV,2018,Individual,5000,Petrol,Automatic,23.1,998,67.04,5
6.85,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,2017,Dealer,55000,Diesel,Manual,23,1498,98.96,5
3.8,Hyundai Verna SX CRDi AT,2012,Dealer,65000,Diesel,Automatic,19.08,1582,126.32,5
3.3,Renault KWID 1.0 RXT Optional,2018,Individual,22000,Petrol,Manual,23.01,999,67,5
6.5,Maruti Baleno Delta,2018,Trustmark Dealer,7671,Petrol,Manual,21.01,1197,81.8,5
3.25,Maruti Wagon R LXI,2016,Individual,66000,Petrol,Manual,20.51,998,67.04,5
6.4,Maruti Swift Dzire AMT VXI,2018,Dealer,45156,Petrol,Automatic,21.21,1197,81.8,5
9.49,Hyundai Venue SX Opt Turbo BSIV,2019,Individual,25000,Petrol,Manual,18.27,998,118.35,5
7.5,Nissan Terrano XL Plus 85 PS,2015,Individual,70000,Diesel,Manual,20.45,1461,83.8,5
6.6,Hyundai Verna 1.6 CRDi SX,2015,Individual,120000,Diesel,Manual,23.9,1582,126.2,5
4.35,Maruti Swift VXi BSIV,2014,Dealer,28000,Petrol,Manual,16.1,1197,85,5
3.85,Hyundai i20 Sportz 1.4 CRDi,2013,Dealer,55000,Diesel,Manual,21.9,1396,88.76,5
10,Hyundai Santa Fe 4X2,2011,Individual,104000,Diesel,Manual,14.66,2199,194.3,7
12.5,Hyundai Verna CRDi 1.6 AT SX Option,2019,Dealer,14000,Diesel,Automatic,22,1582,126.2,5
5.5,Hyundai Xcent 1.2 VTVT SX,2017,Individual,18000,Petrol,Manual,20.14,1197,81.86,5
1.55,Maruti Wagon R LX BS IV,2009,Dealer,98780,Petrol,Manual,18.9,998,67.1,5
4.15,Maruti Swift VDI BSIV,2015,Dealer,58000,Diesel,Manual,25.2,1248,74,5
2.51,Maruti Alto K10 2010-2014 VXI,2011,Individual,30000,Petrol,Manual,20.92,998,67.1,5
11.5,Mahindra Scorpio S10 7 Seater,2016,Dealer,46400,Diesel,Manual,15.4,2179,120,7
3.1,Hyundai i10 Magna 1.1L,2014,Trustmark Dealer,32111,Petrol,Manual,19.81,1086,68.05,5
3.5,Datsun GO Plus T BSIV,2015,Individual,35000,Petrol,Manual,19.44,1198,67,7
11.25,Mahindra Scorpio 1.99 S6 Plus,2017,Dealer,30000,Diesel,Manual,15.4,1997,120,7
26,BMW 5 Series 530d M Sport,2016,Dealer,63000,Diesel,Automatic,18.59,2993,261.49,5
2,Chevrolet Beat LT,2017,Individual,43890,Petrol,Manual,17.8,1199,76.8,5
4.8,Datsun GO Plus Anniversary Edition,2018,Individual,10000,Petrol,Manual,20.62,1198,67,7
8.5,Maruti Swift Dzire AMT ZDI Plus,2017,Individual,25000,Diesel,Automatic,28.4,1248,74.02,5
11,Hyundai Creta 1.6 CRDi AT SX Plus,2017,Dealer,102000,Diesel,Automatic,17.01,1582,126.2,5
5.75,Maruti Swift VXI 2018,2018,Dealer,35000,Petrol,Manual,22,1197,81.8,5
1.6,Hyundai Santro LP,2007,Individual,54000,Petrol,Manual,0,999,5,5
3.4,Maruti Swift Dzire VXi,2012,Dealer,49948,Petrol,Manual,17.5,1298,85.8,5
5.59,Tata Indigo eLX BS IV,2018,Individual,114851,Diesel,Manual,25,1396,69.01,5
9.25,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,2018,Individual,55000,Diesel,Manual,23,1498,98.96,5
4,Hyundai Grand i10 Magna,2015,Dealer,36000,Petrol,Manual,18.9,1197,82,5
5.6,Hyundai Xcent 1.2 CRDi S,2019,Individual,35000,Diesel,Manual,25.4,1186,73.97,5
7.25,Honda City i VTEC VX Option,2016,Dealer,49625,Petrol,Manual,17.8,1497,117.3,5
6,Maruti Swift Dzire ZDI,2014,Individual,35000,Diesel,Manual,23.4,1248,74,5
5.5,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2013,Individual,95000,Diesel,Manual,12.05,2179,120,8
5.85,Ford Aspire 1.5 TDCi Titanium,2017,Dealer,36000,Diesel,Manual,25.83,1498,99,5
4.11,Maruti Wagon R VXI,2019,Individual,50000,Petrol,Manual,21.79,998,67.05,5
4.5,Maruti Swift Dzire VXI,2015,Individual,26500,Petrol,Manual,20.85,1197,83.14,5
12.9,Honda CR-V 2.0L 2WD AT,2015,Dealer,80000,Petrol,Automatic,13.7,1997,153.86,5
4.55,Volkswagen Polo 1.2 MPI Highline,2015,Dealer,46000,Petrol,Manual,16.47,1198,74,5
7.1,Hyundai Grand i10 Nios Asta,2019,Individual,9000,Petrol,Manual,20.7,1197,81.86,5
4.5,Mahindra TUV 300 T4,2016,Individual,70000,Diesel,Manual,18.49,1493,100,7
4.65,Toyota Etios Liva 1.2 VX,2015,Dealer,33000,Petrol,Manual,17.71,1197,78.9,5
7.7,Honda City V MT,2016,Dealer,53000,Petrol,Manual,16.8,1497,116.3,5
3.2,Tata Indigo LS (TDI) BS-III,2015,Individual,50000,Diesel,Manual,19.09,1405,69.01,5
3.25,Tata Indigo LX (TDI) BS-III,2015,Individual,50000,Diesel,Manual,19.09,1405,69.01,5
29,Ford Endeavour 3.2 Titanium AT 4X4,2018,Individual,11387,Diesel,Automatic,10.91,3198,197,7
7.2,Honda Amaze VX i-DTEC,2018,Individual,50000,Diesel,Manual,25.8,1498,98.6,5
3.75,Mahindra KUV 100 mFALCON D75 K6 5str,2016,Dealer,52000,Diesel,Manual,25.32,1198,77,5
1.45,Chevrolet Aveo 1.4 LT ABS BSIV,2010,Individual,60000,Petrol,Manual,14.49,1399,92.7,5
4,Datsun GO Plus T BSIV,2015,Individual,35000,Petrol,Manual,19.44,1198,67,7
6,Renault Duster 85PS Diesel RxL Plus,2015,Individual,48000,Diesel,Manual,19.87,1461,83.8,5
6,Honda Jazz 1.2 V i VTEC,2018,Individual,18000,Petrol,Manual,18.7,1199,88.7,5
2.7,Maruti Wagon R LXI DUO,2012,Individual,57413,LPG,Manual,14.4,998,61.7,5
5,Hyundai i20 Magna 1.2,2015,Individual,30000,Petrol,Manual,18.6,1197,81.83,5
6.5,Hyundai Verna 1.6 CRDi SX,2015,Dealer,55000,Diesel,Manual,23.9,1582,126.2,5
3.8,Chevrolet Sail 1.2 LS ABS,2015,Individual,120000,Petrol,Manual,18.2,1199,82.4,5
7.28,Mitsubishi Pajero Sport 4X4,2012,Individual,165000,Diesel,Manual,13.5,2477,175.56,7
6.6,Maruti Swift AMT ZXI,2018,Individual,10000,Petrol,Automatic,21.21,1197,81.8,5
1.8,Tata Indica Vista Aura 1.3 Quadrajet,2010,Individual,120000,Diesel,Manual,18,1248,75,5
20.9,BMW 3 Series 320d Luxury Line,2016,Dealer,68000,Diesel,Automatic,22.69,1995,190,5
2.5,Chevrolet Beat Diesel LS,2015,Dealer,55000,Diesel,Manual,25.44,936,56.3,5
12.75,Kia Seltos HTK Plus G,2020,Dealer,8000,Petrol,Manual,16.8,1497,113.4,5
4.55,Toyota Corolla Altis G,2012,Dealer,80000,Petrol,Manual,14.53,1798,138.1,5
4.95,Maruti Swift VDI,2015,Dealer,65000,Diesel,Manual,28.4,1248,74,5
2.2,Maruti Ritz VXI,2010,Individual,47000,Petrol,Manual,21.1,1197,85.8,5
8,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,Individual,185000,Diesel,Manual,25.1,1248,88.5,5
12.95,Hyundai Santa Fe 2WD AT,2014,Dealer,68000,Diesel,Automatic,13.01,2199,194.3,7
4.75,Hyundai Grand i10 Sportz,2016,Individual,25000,Petrol,Manual,18.9,1197,82,5
3.8,Tata Sumo Gold EX,2014,Individual,280000,Diesel,Manual,15.3,2956,83.83,7
9,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,Individual,7791,Diesel,Manual,25.1,1248,88.5,5
5.3,Maruti Ciaz VXi Plus,2015,Individual,70000,Petrol,Manual,20.73,1373,91.1,5
5.3,Tata Tiago 1.2 Revotron XZ,2016,Individual,9500,Petrol,Manual,23.84,1199,84,5
6.5,Hyundai Verna 1.6 VTVT S,2015,Individual,9100,Petrol,Manual,17.01,1591,121.3,5
4.95,Honda New Accord 2008-2011 2.4 MT,2010,Dealer,82000,Petrol,Manual,12.8,2354,177.6,5
3.35,Honda City 1.5 S MT,2010,Dealer,86000,Petrol,Manual,17,1497,118,5
46.75,Audi Q5 40 TDI Technology,2020,Dealer,19000,Diesel,Automatic,17.01,1968,188,5
12.9,Audi A4 2.0 TDI,2013,Dealer,78000,Diesel,Automatic,16.55,1968,147.51,5
3,Ford Figo Diesel Titanium,2011,Individual,60000,Diesel,Manual,20,1399,68,5
5.5,Maruti Wagon R ZXI AMT 1.2BSIV,2019,Trustmark Dealer,7883,Petrol,Automatic,21.5,1197,81.8,5
3.9,Maruti Swift Dzire LDI,2013,Trustmark Dealer,50205,Diesel,Manual,23.4,1248,74,5
2.6,Mahindra Bolero DI AC BSIII,2008,Individual,220000,Diesel,Manual,13.6,2523,63,7
3.95,Tata Tigor 1.05 Revotorq XT,2017,Dealer,58000,Diesel,Manual,24.7,1047,69,5
5.5,Mahindra Scorpio SLE BSIII,2012,Individual,170000,Diesel,Manual,12.05,2179,120,8
6.5,Maruti Swift Dzire VXI 1.2 BS IV,2018,Individual,15000,Petrol,Manual,22,1197,81.8,5
3.75,Maruti Swift DDiS LDI,2016,Dealer,71245,Diesel,Manual,28.4,1248,74,5
3,Tata Manza ELAN Quadrajet BS IV,2012,Individual,20000,Diesel,Manual,21.12,1248,88.8,5
4.5,Toyota Etios VX,2016,Dealer,52000,Petrol,Manual,16.78,1496,88.73,5
3.35,Honda Brio S MT,2015,Individual,61000,Petrol,Manual,19.4,1198,86.8,5
13,Kia Seltos GTK,2019,Individual,7000,Petrol,Manual,16.1,1353,138,5
3.6,Maruti Alto K10 VXI,2018,Individual,20000,Petrol,Manual,23.95,998,67.05,5
5.05,Maruti Celerio ZXI,2020,Individual,8700,Petrol,Manual,21.63,998,67.04,5
3.1,Maruti Alto 800 LXI,2019,Individual,25000,Petrol,Manual,24.7,796,47.3,5
5.45,Hyundai i20 Asta Option BSIV,2015,Dealer,42000,Petrol,Manual,18.6,1197,81.86,5
3,Mahindra Xylo E4,2009,Individual,120000,Diesel,Manual,14,2498,112,7
2,Chevrolet Aveo 1.4 LS Limited Edition,2009,Individual,60000,Petrol,Manual,14.4,1399,94,5
1.5,Mahindra Bolero DI,2006,Individual,120000,Diesel,Manual,13.6,2523,63,7
5.8,Maruti Baleno Delta 1.2,2018,Individual,50000,Petrol,Manual,21.4,1197,83.1,5
2.5,Maruti Wagon R VXI BS IV,2011,Individual,58000,Petrol,Manual,18.9,998,67.1,5
6.5,Hyundai Verna 1.4 VTVT,2017,Individual,36000,Petrol,Manual,17.43,1396,105.5,5
8,Maruti SX4 S Cross DDiS 200 Zeta,2016,Individual,80000,Diesel,Manual,23.65,1248,88.5,5
14.75,Audi Q3 2.0 TDI Quattro Premium Plus,2013,Dealer,71000,Diesel,Automatic,15.73,1968,174.33,5
4.1,Maruti Ertiga VDI,2018,Individual,30000,Diesel,Manual,25.47,1248,88.5,7
5.31,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,2015,Dealer,162828,Diesel,Manual,22.77,1498,98.59,5
8.9,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,2018,Individual,7500,Diesel,Manual,23,1498,98.96,5
7.75,Tata Safari Storme EX,2016,Dealer,47227,Diesel,Manual,14,2179,138.1,7
4.35,Maruti Wagon R CNG LXI BSIV,2018,Dealer,52000,CNG,Manual,33.54,998,67.04,5
1.85,Ford Figo Diesel ZXI,2012,Dealer,74000,Diesel,Manual,20,1399,68.05,5
4.4,Mahindra Bolero 2011-2019 SLX,2011,Dealer,47000,Diesel,Manual,15.96,2523,62.1,7
4.5,Hyundai i20 Sportz 1.2,2015,Individual,50000,Petrol,Manual,18.6,1197,81.83,5
6,Maruti Baleno Zeta 1.2,2017,Individual,100000,Petrol,Manual,21.4,1197,83.1,5
3.2,Maruti Celerio VXI,2014,Individual,35000,Petrol,Manual,23.1,998,67.04,5
7,Hyundai i20 Active 1.4 SX,2016,Individual,50000,Diesel,Manual,21.19,1396,88.73,5
6.3,Ford Aspire 1.2 Ti-VCT Titanium,2018,Individual,10000,Petrol,Manual,18.16,1196,86.8,5
3.2,Maruti Alto 800 VXI Airbag,2016,Individual,10370,Petrol,Manual,22.74,796,47.3,5
4.65,Honda City V MT,2013,Dealer,62000,Petrol,Manual,16.8,1497,116.3,5
2.75,Tata Manza Aura Quadrajet BS IV,2011,Individual,70000,Diesel,Manual,21.12,1248,88.8,5
3.7,Nissan Sunny Diesel XL,2013,Individual,250000,Diesel,Manual,21.64,1461,84.8,5
5.5,Hyundai i20 Sportz 1.2,2016,Individual,40000,Petrol,Manual,18.6,1197,81.83,5
4.45,Maruti Swift VVT VXI,2017,Individual,60000,Petrol,Manual,22,1197,81.8,5
7.05,Tata Safari Storme VX,2013,Dealer,67231,Diesel,Manual,14,2179,138.1,7
2.7,Maruti Wagon R CNG LXI BSIV,2013,Dealer,64000,CNG,Manual,33.54,998,67.04,5
4.2,Nissan Micra Diesel XV,2012,Dealer,142587,Diesel,Manual,23.08,1461,63.1,5
4.75,Honda City i DTec SV,2014,Dealer,63000,Diesel,Manual,26,1498,98.6,5
17.55,Toyota Fortuner 4x4 MT,2015,Individual,80000,Diesel,Manual,12.55,2982,168.5,7
3.5,Honda City 2017-2020 VTEC,2011,Dealer,55000,Petrol,Manual,16.9,1497,100,5
5.75,Hyundai i20 2015-2017 Sportz Option 1.2,2016,Dealer,11000,Petrol,Manual,18.6,1197,81.83,5
4.66,Toyota Etios Liva GD,2016,Dealer,66000,Diesel,Manual,23.59,1364,67.06,5
3.6,Renault KWID 1.0 RXT Optional,2017,Individual,17000,Petrol,Manual,23.01,999,67,5
2.75,Maruti Alto 800 VXI Optional,2017,Individual,25000,Petrol,Manual,24.7,796,47.3,5
3.2,Datsun GO Plus D,2016,Individual,33350,Petrol,Manual,19.44,1198,67,7
0.95,Maruti Omni 5 Str STD,2000,Individual,45000,Petrol,Manual,14,796,35,5
3.7,Hyundai Grand i10 Magna,2015,Dealer,62000,Petrol,Manual,18.9,1197,82,5
2.5,Honda Brio E MT,2013,Individual,30000,Petrol,Manual,19.4,1198,86.8,5
2.75,Maruti Swift Dzire ZXi,2009,Individual,59000,Petrol,Manual,17.5,1298,85.8,5
19.5,Mercedes-Benz GLA AMG 45 4MATIC,2015,Dealer,20000,Petrol,Automatic,12.33,1991,375.48,5
5.5,Honda City i VTEC V,2014,Dealer,86113,Petrol,Manual,17.4,1497,117.3,5
13.25,Toyota Corolla Altis Diesel D4DG,2016,Dealer,45000,Diesel,Manual,21.43,1364,87.2,5
7.5,Maruti Swift Dzire VDI,2018,Individual,10000,Diesel,Manual,28.4,1248,74.02,5
2.9,Nissan Micra XV,2011,Dealer,70000,Petrol,Manual,18.06,1198,75,5
2.72,Maruti Wagon R VXI,2015,Individual,92537,Petrol,Manual,20.51,998,67.04,5
9.51,Maruti Ciaz 1.3 Alpha,2019,Dealer,27645,Diesel,Manual,28.09,1248,88.5,5
